source ID,source name,source ref,source type,mapping type,target ID,target name,target ref,target type,mapping description,STIX ID,created,last modified
M0801,Access Management,course-of-action--3992ce42-43e9-4bea-b8db-a102ec3ec1e3,mitigation,mitigates,T0800,Activate Firmware Update Mode,attack-pattern--19a71d1e-6334-4233-8260-b749cae37953,technique,"All devices or systems changes, including all administrative functions, should require authentication. Consider using access management technologies to enforce authorization on all management interface access attempts, especially when the device does not inherently provide strong authentication and authorization functions.
",relationship--b3b24837-83ed-46c5-ba80-66a832c7072e,21 September 2020,28 April 2025
M0801,Access Management,course-of-action--3992ce42-43e9-4bea-b8db-a102ec3ec1e3,mitigation,mitigates,T0858,Change Operating Mode,attack-pattern--2883c520-7957-46ca-89bd-dab1ad53b601,technique,"Authenticate all access to field controllers before authorizing access to, or modification of, a device's state, logic, or programs. Centralized authentication techniques can help manage the large number of field controller accounts needed across the ICS.
",relationship--a86cee0a-dc49-4c95-b5dc-37405337490b,21 September 2020,28 April 2025
M0801,Access Management,course-of-action--3992ce42-43e9-4bea-b8db-a102ec3ec1e3,mitigation,mitigates,T0812,Default Credentials,attack-pattern--8bb4538f-f16f-49f0-a431-70b5444c7349,technique,"Ensure embedded controls and network devices are protected through access management, as these devices often have unknown default accounts which could be used to gain unauthorized access.
",relationship--3ed98d8c-de30-499e-9a62-eae0207519f4,21 September 2020,28 April 2025
M0801,Access Management,course-of-action--3992ce42-43e9-4bea-b8db-a102ec3ec1e3,mitigation,mitigates,T0868,Detect Operating Mode,attack-pattern--2aa406ed-81c3-4c1d-ba83-cfbee5a2847a,technique,"Authenticate all access to field controllers before authorizing access to, or modification of, a device's state, logic, or programs. Centralized authentication techniques can help manage the large number of field controller accounts needed across the ICS.
",relationship--6637d8e6-6578-4d15-a993-d63ced4c4464,21 September 2020,28 April 2025
M0801,Access Management,course-of-action--3992ce42-43e9-4bea-b8db-a102ec3ec1e3,mitigation,mitigates,T0816,Device Restart/Shutdown,attack-pattern--25dfc8ad-bd73-4dfd-84a9-3c3d383f76e9,technique,"All devices or systems changes, including all administrative functions, should require authentication. Consider using access management technologies to enforce authorization on all management interface access attempts, especially when the device does not inherently provide strong authentication and authorization functions.
",relationship--e8af0b34-4a67-4966-a34a-c4d1b346ea15,21 September 2020,28 April 2025
M0801,Access Management,course-of-action--3992ce42-43e9-4bea-b8db-a102ec3ec1e3,mitigation,mitigates,T0871,Execution through API,attack-pattern--5a2610f6-9fff-41e1-bc27-575ca20383d4,technique,"Access Management technologies can be used to enforce authorization policies and decisions, especially when existing field devices do not provide capabilities to support user identification and authentication. (Citation: McCarthy, J et al. July 2018) These technologies typically utilize an in-line network device or gateway system to prevent access to unauthenticated users, while also integrating with an authentication service to first verify user credentials.
",relationship--efb80069-e4be-4055-bd34-06d1376b4601,21 September 2020,28 April 2025
M0801,Access Management,course-of-action--3992ce42-43e9-4bea-b8db-a102ec3ec1e3,mitigation,mitigates,T0891,Hardcoded Credentials,attack-pattern--c9a8d958-fcdb-40d2-af4c-461c8031651a,technique,"Ensure embedded controls and network devices are protected through access management, as these devices often have unknown hardcoded accounts which could be used to gain unauthorized access.",relationship--5714c88f-ca54-46b6-b072-cd1d24714ae0,29 September 2022,16 April 2025
M0801,Access Management,course-of-action--3992ce42-43e9-4bea-b8db-a102ec3ec1e3,mitigation,mitigates,T0838,Modify Alarm Settings,attack-pattern--e5de767e-f513-41cd-aa15-33f6ce5fbf92,technique,"All devices or systems changes, including all administrative functions, should require authentication. Consider using access management technologies to enforce authorization on all management interface access attempts, especially when the device does not inherently provide strong authentication and authorization functions.
",relationship--f20d8eed-b517-4297-b32a-9a5e0845de9f,21 September 2020,28 April 2025
M0801,Access Management,course-of-action--3992ce42-43e9-4bea-b8db-a102ec3ec1e3,mitigation,mitigates,T0839,Module Firmware,attack-pattern--efbf7888-f61b-4572-9c80-7e2965c60707,technique,"All devices or systems changes, including all administrative functions, should require authentication. Consider using access management technologies to enforce authorization on all management interface access attempts, especially when the device does not inherently provide strong authentication and authorization functions.
",relationship--d1971b32-3a15-4544-9f36-80c05121deb6,21 September 2020,28 April 2025
M0801,Access Management,course-of-action--3992ce42-43e9-4bea-b8db-a102ec3ec1e3,mitigation,mitigates,T0861,Point & Tag Identification,attack-pattern--25852363-5968-4673-b81d-341d5ed90bd1,technique,"Authenticate all access to field controllers before authorizing access to, or modification of, a device's state, logic, or programs. Centralized authentication techniques can help manage the large number of field controller accounts needed across the ICS.
",relationship--b7f23af2-e948-4531-af56-1a1b4d03702f,21 September 2020,28 April 2025
M0801,Access Management,course-of-action--3992ce42-43e9-4bea-b8db-a102ec3ec1e3,mitigation,mitigates,T0843,Program Download,attack-pattern--be69c571-d746-4b1f-bdd0-c0c9817e9068,technique,"Authenticate all access to field controllers before authorizing access to, or modification of, a device's state, logic, or programs. Centralized authentication techniques can help manage the large number of field controller accounts needed across the ICS.
",relationship--ec105f62-2552-41fa-8b07-619dc1bf9b19,21 September 2020,28 April 2025
M0801,Access Management,course-of-action--3992ce42-43e9-4bea-b8db-a102ec3ec1e3,mitigation,mitigates,T0845,Program Upload,attack-pattern--3067b85e-271e-4bc5-81ad-ab1a81d411e3,technique,"Authenticate all access to field controllers before authorizing access to, or modification of, a device's state, logic, or programs. Centralized authentication techniques can help manage the large number of field controller accounts needed across the ICS.
",relationship--5ca1d677-b41f-4f1e-b86b-f5637a418829,21 September 2020,28 April 2025
M0801,Access Management,course-of-action--3992ce42-43e9-4bea-b8db-a102ec3ec1e3,mitigation,mitigates,T0886,Remote Services,attack-pattern--e1f9cdd2-9511-4fca-90d7-f3e92cfdd0bf,technique,"Access Management technologies can help enforce authentication on critical remote service, examples include, but are not limited to, device management services (e.g., telnet, SSH), data access servers (e.g., HTTP, Historians), and HMI sessions (e.g., RDP, VNC).
",relationship--c9065f74-556d-4728-8072-f96642e70316,12 April 2021,28 April 2025
M0801,Access Management,course-of-action--3992ce42-43e9-4bea-b8db-a102ec3ec1e3,mitigation,mitigates,T0857,System Firmware,attack-pattern--b9160e77-ea9e-4ba9-b1c8-53a3c466b13d,technique,"All devices or systems changes, including all administrative functions, should require authentication. Consider using access management technologies to enforce authorization on all management interface access attempts, especially when the device does not inherently provide strong authentication and authorization functions.
",relationship--68d30c45-766f-48b6-9405-0c969243332b,21 September 2020,28 April 2025
M0801,Access Management,course-of-action--3992ce42-43e9-4bea-b8db-a102ec3ec1e3,mitigation,mitigates,T0859,Valid Accounts,attack-pattern--cd2c76a4-5e23-4ca5-9c40-d5e0604f7101,technique,"Authenticate all access to field controllers before authorizing access to, or modification of, a device's state, logic, or programs. Centralized authentication techniques can help manage the large number of field controller accounts needed across the ICS.
",relationship--104b4f25-d0a9-41f6-94b3-fa85ee8b1523,21 September 2020,28 April 2025
M0936,Account Use Policies,course-of-action--86b455f2-fb63-4043-93a8-32a3a7703a02,mitigation,mitigates,T0822,External Remote Services,attack-pattern--8d2f3bab-507c-4424-b58b-edc977bd215c,technique,"Configure features related to account use like login attempt lockouts, specific login times, and password strength requirements as examples. Consider these features as they relate to assets which may impact safety and availability. (Citation: Keith Stouffer May 2015)
",relationship--276aa6a6-e700-470a-8f72-02537ba7be9d,21 September 2020,28 April 2025
M0936,Account Use Policies,course-of-action--86b455f2-fb63-4043-93a8-32a3a7703a02,mitigation,mitigates,T0859,Valid Accounts,attack-pattern--cd2c76a4-5e23-4ca5-9c40-d5e0604f7101,technique,"Configure features related to account use like login attempt lockouts, specific login times, and password strength requirements as examples. Consider these features as they relate to assets which may impact safety and availability. (Citation: Keith Stouffer May 2015)
",relationship--ea817c7a-9424-4204-90a5-6f8fb86037be,21 September 2020,28 April 2025
M0915,Active Directory Configuration,course-of-action--2f0160b7-e982-49d7-9612-f19b810f1722,mitigation,mitigates,T0859,Valid Accounts,attack-pattern--cd2c76a4-5e23-4ca5-9c40-d5e0604f7101,technique,"Consider configuration and use of a network-wide authentication service such as Active Directory, LDAP, or RADIUS capabilities which can be found in ICS devices. (Citation: Keith Stouffer May 2015) (Citation: Schweitzer Engineering Laboratories August 2015)
",relationship--eeeaa0d4-0ca0-468e-ae13-43ab7aba61b4,21 September 2020,28 April 2025
M0949,Antivirus/Antimalware,course-of-action--faf2b40e-5981-433f-aa46-17458e0026f7,mitigation,mitigates,T0865,Spearphishing Attachment,attack-pattern--648f995e-9c3a-41e4-aeee-98bb41037426,technique,"Deploy anti-virus on all systems that support external email.
",relationship--bda03e8d-5e06-4470-b786-11b11c7c97c7,21 September 2020,28 April 2025
