ID,STIX ID,name,description,url,created,last modified,domain,version,tactics,detection,platforms,contributors,relationship citations
T0800,attack-pattern--19a71d1e-6334-4233-8260-b749cae37953,Activate Firmware Update Mode,"Adversaries may activate firmware update mode on devices to prevent expected response functions from engaging in reaction to an emergency or process malfunction. For example, devices such as protection relays may have an operation mode designed for firmware installation. This mode may halt process monitoring and related functions to allow new firmware to be loaded. A device left in update mode may be placed in an inactive holding state if no firmware is provided to it. By entering and leaving a device in this mode, the adversary may deny its usual functionalities.",https://attack.mitre.org/techniques/T0800,21 May 2020,25 April 2025,ics-attack,1.0,Inhibit Response Function,,None,Joe Slowik - Dragos,"(Citation: Joe Slowik August 2019),(Citation: Department of Homeland Security September 2016),,"
T0830,attack-pattern--9a505987-ab05-4f46-a9a6-6441442eec3b,Adversary-in-the-Middle,"Adversaries with privileged network access may seek to modify network traffic in real time using adversary-in-the-middle (AiTM) attacks. (Citation: Gabriel Sanchez October 2017) This type of attack allows the adversary to intercept traffic to and/or from a particular device on the network. If a AiTM attack is established, then the adversary has the ability to block, log, modify, or inject traffic into the communication stream. There are several ways to accomplish this attack, but some of the most-common are Address Resolution Protocol (ARP) poisoning and the use of a proxy. (Citation: Bonnie Zhu, Anthony Joseph, Shankar Sastry 2011)  

An AiTM attack may allow an adversary to perform the following attacks:  
[Block Reporting Message](https://attack.mitre.org/techniques/T0804), [Spoof Reporting Message](https://attack.mitre.org/techniques/T0856), [Modify Parameter](https://attack.mitre.org/techniques/T0836), [Unauthorized Command Message](https://attack.mitre.org/techniques/T0855)",https://attack.mitre.org/techniques/T0830,21 May 2020,16 April 2025,ics-attack,2.0,Collection,,None,Conrad Layne - GE Digital,"(Citation: Carl Hurd March 2019),(Citation: Triton-EENews-2017),(Citation: William Largent June 2018),,,"
T0878,attack-pattern--2900bbd8-308a-4274-b074-5b8bde8347bc,Alarm Suppression,"Adversaries may target protection function alarms to prevent them from notifying operators of critical conditions. Alarm messages may be a part of an overall reporting system and of particular interest for adversaries. Disruption of the alarm system does not imply the disruption of the reporting system as a whole.

A Secura presentation on targeting OT notes a dual fold goal for adversaries attempting alarm suppression: prevent outgoing alarms from being raised and prevent incoming alarms from being responded to. (Citation: Jos Wetzels, Marina Krotofil 2019) The method of suppression may greatly depend on the type of alarm in question:  

* An alarm raised by a protocol message 
* An alarm signaled with I/O 
* An alarm bit set in a flag (and read) 

In ICS environments, the adversary may have to suppress or contend with multiple alarms and/or alarm propagation to achieve a specific goal to evade detection or prevent intended responses from occurring. (Citation: Jos Wetzels, Marina Krotofil 2019)  Methods of suppression may involve tampering or altering device displays and logs, modifying in memory code to fixed values, or even tampering with assembly level instruction code.",https://attack.mitre.org/techniques/T0878,21 May 2020,16 April 2025,ics-attack,1.2,Inhibit Response Function,,None,Jos Wetzels - Midnight Blue; Marina Krotofil,"(Citation: Marshall Abrams July 2008),(Citation: Karen Scarfone; Paul Hoffman September 2009),(Citation: Keith Stouffer May 2015),(Citation: Dwight Anderson 2014),(Citation: Department of Homeland Security September 2016),,"
T0802,attack-pattern--3de230d4-3e42-4041-b089-17e1128feded,Automated Collection,"Adversaries may automate collection of industrial environment information using tools or scripts. This automated collection may leverage native control protocols and tools available in the control systems environment. For example, the OPC protocol may be used to enumerate and gather information. Access to a system or interface with these native protocols may allow collection and enumeration of other attached, communicating servers and devices.",https://attack.mitre.org/techniques/T0802,21 May 2020,15 April 2025,ics-attack,1.1,Collection,,None,,"(Citation: Industroyer2 Forescout July 2022),(Citation: Anton Cherepanov, ESET June 2017),(Citation: Daavid Hentunen, Antti Tikkanen June 2014),,,"
T0895,attack-pattern--77d9c726-b53e-481d-8bcc-1068aebfbb9d,Autorun Image,"Adversaries may leverage AutoRun functionality or scripts to execute malicious code. Devices configured to enable AutoRun functionality or legacy operating systems may be susceptible to abuse of these features to run malicious code stored on various forms of removeable media (i.e., USB, Disk Images [.ISO]). Commonly, AutoRun or AutoPlay are disabled in many operating systems configurations to mitigate against this technique. If a device is configured to enable AutoRun or AutoPlay, adversaries may execute code on the device by mounting the removable media to the device, either through physical or virtual means. This may be especially relevant for virtual machine environments where disk images may be dynamically mapped to a guest system on a hypervisor.  

An example could include an adversary gaining access to a hypervisor through the management interface to modify a virtual machine’s hardware configuration. They could then deploy an iso image with a malicious AutoRun script to cause the virtual machine to automatically execute the code contained on the disk image. This would enable the execution of malicious code within a virtual machine without needing any prior remote access to that system.
",https://attack.mitre.org/techniques/T0895,26 March 2024,15 April 2025,ics-attack,1.0,Execution,,,,"(Citation: Mandiant-Sandworm-Ukraine-2022),,,"
T0803,attack-pattern--008b8f56-6107-48be-aa9f-746f927dbb61,Block Command Message,"Adversaries may block a command message from reaching its intended target to prevent command execution. In OT networks, command messages are sent to provide instructions to control system devices. A blocked command message can inhibit response functions from correcting a disruption or unsafe condition. (Citation: Bonnie Zhu, Anthony Joseph, Shankar Sastry 2011)  (Citation: Electricity Information Sharing and Analysis Center; SANS Industrial Control Systems March 2016)",https://attack.mitre.org/techniques/T0803,21 May 2020,15 April 2025,ics-attack,1.1,Inhibit Response Function,,None,,"(Citation: Ukraine15 - EISAC - 201603),(Citation: Anton Cherepanov, ESET June 2017),,,"
T0804,attack-pattern--3f1f4ccb-9be2-4ff8-8f69-dd972221169b,Block Reporting Message,"Adversaries may block or prevent a reporting message from reaching its intended target. In control systems, reporting messages contain telemetry data (e.g., I/O values) pertaining to the current state of equipment and the industrial process. By blocking these reporting messages, an adversary can potentially hide their actions from an operator.

Blocking reporting messages in control systems that manage physical processes may contribute to system impact, causing inhibition of a response function. A control system may not be able to respond in a proper or timely manner to an event, such as a dangerous fault, if its corresponding reporting message is blocked. (Citation: Bonnie Zhu, Anthony Joseph, Shankar Sastry 2011)  (Citation: Electricity Information Sharing and Analysis Center; SANS Industrial Control Systems March 2016)",https://attack.mitre.org/techniques/T0804,21 May 2020,16 April 2025,ics-attack,1.0,Inhibit Response Function,,None,,"(Citation: Ukraine15 - EISAC - 201603),(Citation: Anton Cherepanov, ESET June 2017),,,"
T0805,attack-pattern--1c478716-71d9-46a4-9a53-fa5d576adb60,Block Serial COM,"Adversaries may block access to serial COM to prevent instructions or configurations from reaching target devices. Serial Communication ports (COM) allow communication with control system devices. Devices can receive command and configuration messages over such serial COM. Devices also use serial COM to send command and reporting messages. Blocking device serial COM may also block command messages and block reporting messages. 

A serial to Ethernet converter is often connected to a serial COM to facilitate communication between serial and Ethernet devices. One approach to blocking a serial COM would be to create and hold open a TCP session with the Ethernet side of the converter. A serial to Ethernet converter may have a few ports open to facilitate multiple communications. For example, if there are three serial COM available -- 1, 2 and 3 --, the converter might be listening on the corresponding ports 20001, 20002, and 20003. If a TCP/IP connection is opened with one of these ports and held open, then the port will be unavailable for use by another party. One way the adversary could achieve this would be to initiate a TCP session with the serial to Ethernet converter at 10.0.0.1 via Telnet on serial port 1 with the following command: telnet 10.0.0.1 20001.",https://attack.mitre.org/techniques/T0805,21 May 2020,16 April 2025,ics-attack,1.1,Inhibit Response Function,,None,,"(Citation: Booz Allen Hamilton),(Citation: Anton Cherepanov, ESET June 2017),,,"
T0806,attack-pattern--8e7089d3-fba2-44f8-94a8-9a79c53920c4,Brute Force I/O,"Adversaries may repetitively or successively change I/O point values to perform an action. Brute Force I/O may be achieved by changing either a range of I/O point values or a single point value repeatedly to manipulate a process function. The adversary's goal and the information they have about the target environment will influence which of the options they choose. In the case of brute forcing a range of point values, the adversary may be able to achieve an impact without targeting a specific point. In the case where a single point is targeted, the adversary may be able to generate instability on the process function associated with that particular point. 

Adversaries may use Brute Force I/O to cause failures within various industrial processes. These failures could be the result of wear on equipment or damage to downstream equipment.",https://attack.mitre.org/techniques/T0806,21 May 2020,16 April 2025,ics-attack,1.1,Impair Process Control,,None,,"(Citation: Industroyer2 Forescout July 2022),(Citation: Claroty Fuxnet 2024),(Citation: Anton Cherepanov, ESET June 2017),(Citation: Industroyer2 Mandiant April 2022),(Citation: Karen Scarfone; Paul Hoffman September 2009),(Citation: Keith Stouffer May 2015),(Citation: Dwight Anderson 2014),(Citation: Department of Homeland Security September 2016),,"
T0892,attack-pattern--fab8fc7d-f27f-4fbb-9de6-44740aade05f,Change Credential,"Adversaries may modify software and device credentials to prevent operator and responder access. Depending on the device, the modification or addition of this password could prevent any device configuration actions from being accomplished and may require a factory reset or replacement of hardware. These credentials are often built-in features provided by the device vendors as a means to restrict access to management interfaces.

An adversary with access to valid or hardcoded credentials could change the credential to prevent future authorized device access. Change Credential may be especially damaging when paired with other techniques such as Modify Program, Data Destruction, or Modify Controller Tasking. In these cases, a device’s configuration may be destroyed or include malicious actions for the process environment, which cannot not be removed through normal device configuration actions. 

Additionally, recovery of the device and original configuration may be difficult depending on the features provided by the device. In some cases, these passwords cannot be removed onsite and may require that the device be sent back to the vendor for additional recovery steps.


A chain of incidents occurred in Germany, where adversaries locked operators out of their building automation system (BAS) controllers by enabling a previously unset BCU key. (Citation: German BAS Lockout Dec 2021) 
",https://attack.mitre.org/techniques/T0892,30 March 2023,16 April 2025,ics-attack,1.0,Inhibit Response Function,,None,Felix Eberstaller,",(Citation: M. Rentschler and H. Heine),(Citation: Department of Homeland Security October 2009),(Citation: CISA June 2013),,"
