category,asset,parent,step_name,inferred_tactic_id,inferred_tactic,technique_id,technique_name,technique_tactics
System,PhysicalMachine,,connect,TA0108,Initial Access,T0864,Transient Cyber Asset,Initial Access
System,PhysicalMachine,,fullAccess,TA0111,Privilege Escalation,T0890,Exploitation for Privilege Escalation,Privilege Escalation
System,SensorOrActuator,PhysicalMachine,connect,TA0108,Initial Access,T0864,Transient Cyber Asset,Initial Access
System,SensorOrActuator,PhysicalMachine,fullAccess,TA0111,Privilege Escalation,T0890,Exploitation for Privilege Escalation,Privilege Escalation
System,SensorOrActuator,PhysicalMachine,manipulate,TA0106,Impair Process Control,T0836,Modify Parameter,Impair Process Control
System,Machine,Hardware,authenticate,TA0109,Lateral Movement,T0859,Valid Accounts,"Lateral Movement, Persistence"
System,Machine,Hardware,authenticatedAccess,TA0109,Lateral Movement,T0859,Valid Accounts,"Lateral Movement, Persistence"
System,Machine,Hardware,bypassAccessControl,TA0111,Privilege Escalation,T0890,Exploitation for Privilege Escalation,Privilege Escalation
System,Machine,Hardware,fullAccess,TA0111,Privilege Escalation,T0890,Exploitation for Privilege Escalation,Privilege Escalation
System,Machine,Hardware,idControl,TA0109,Lateral Movement,T0859,Valid Accounts,"Lateral Movement, Persistence"
System,Machine,Hardware,_machineAccess,TA0109,Lateral Movement,T0886,Remote Services,"Initial Access, Lateral Movement"
System,Machine,Hardware,deny,TA0107,Inhibit Response Function,T0814,Denial of Service,Inhibit Response Function
System,Machine,Hardware,_accessData,TA0100,Collection,T0893,Data from Local System,Collection
System,Machine,Hardware,passFirmwareValidation,TA0110,Persistence,T0857,System Firmware,"Inhibit Response Function, Persistence"
System,ECU,Machine,connect,TA0108,Initial Access,T0886,Remote Services,"Initial Access, Lateral Movement"
System,ECU,Machine,maliciousFirmwareUpload,TA0110,Persistence,T0857,System Firmware,"Inhibit Response Function, Persistence"
System,ECU,Machine,udsFirmwareModification,TA0110,Persistence,T0857,System Firmware,"Inhibit Response Function, Persistence"
System,ECU,Machine,idControl,TA0103,Evasion,T0849,Masquerading,Evasion
System,ECU,Machine,offline,TA0107,Inhibit Response Function,T0814,Denial of Service,Inhibit Response Function
System,ECU,Machine,shutdown,TA0107,Inhibit Response Function,T0816,Device Restart/Shutdown,Inhibit Response Function
